Zhong Shan, lat -69.4, lon 76.4, 2012.06.16 (168) 09:48:50, coord GM
The following filter has been applied:
ZenithMax: 40.0 deg
Only O-polarization

     F,kHz      R,km   Zen,deg    Az,deg    Dop,Hz     Error    Amp,dB
      4000     237.0       7.1     105.7   -0.1302      17.0      12.0
      4000     237.0       5.5      97.0    0.1302      19.0      13.5
      4000     242.0       4.5     217.3   -0.6510      17.0      15.0
      4000     242.0       4.9     194.3   -0.5208      11.0      12.0
      4000     242.0       4.6      67.0    0.6510      18.0      13.5
      4000     242.0       5.5      51.6    0.7813      16.0      15.0
      4000     245.0       8.9     205.4   -0.6510      16.0      18.0
      4000     245.0       5.6     252.7   -0.5208      12.0      25.5
      4000     245.0       5.7     243.3   -0.3906      12.0      30.0
      4000     245.0       8.1     222.8   -0.2604      13.0      27.0
      4000     245.0       6.4     110.8   -0.1302      15.0      25.5
      4000     245.0       5.7     136.2    0.1302      13.0      33.0
      4000     245.0       8.4     112.0    0.2604      14.0      27.0
      4000     245.0      11.0      97.5    0.3906      16.0      25.5
      4000     245.0      15.9      91.2    0.5208      15.0      25.5
      4000     245.0      12.4      84.4    0.6510      13.0      21.0
      4000     247.0       4.1     207.5   -0.5208      12.0      40.5
      4000     247.0       4.8     229.3   -0.3906      11.0      43.5
      4000     247.0       9.3     121.7   -0.1302      13.0      43.5
      4000     247.0       4.4     112.0    0.1302      12.0      48.0
      4000     247.0       3.5      48.6    0.2604      14.0      45.0
      4000     247.0      10.1      93.1    0.3906      16.0      37.5
      4000     247.0      17.3      99.7    0.5208      13.0      33.0
      4000     250.0       1.2      15.7   -0.6510       8.0      28.5
      4000     250.0       2.6     247.0   -0.5208      11.0      36.0
      4000     250.0       9.2     283.9   -0.3906      12.0      34.5
      4000     250.0      10.7     155.0   -0.2604       5.0      36.0
      4000     250.0      18.1     128.6   -0.1302      13.0      34.5
      4000     250.0       3.5      19.9    0.1302      11.0      45.0
      4000     250.0       9.5      -4.9    0.2604      12.0      45.0
      4000     250.0      12.3      -7.3    0.3906      19.0      36.0
      4000     250.0      10.0      25.0    0.5208      15.0      36.0
      4000     250.0       7.0       9.0    0.6510      12.0      31.5
      4000     252.0       6.3     172.3   -0.6510      11.0      22.5
      4000     252.0      22.1     119.6   -0.5208      32.0      19.5
      4000     252.0       4.2     247.0   -0.3906      11.0      25.5
      4000     252.0      16.6     168.1   -0.1302      13.0      27.0
      4000     252.0      10.9     334.1    0.1302       3.0      31.5
      4000     252.0      16.4     -15.8    0.2604       9.0      31.5
      4000     252.0       7.0     -18.5    0.3906      11.0      25.5
      4000     252.0      13.8      15.4    0.5208       5.0      24.0
      4000     255.0      30.7     105.6   -0.7812       3.0      19.5
      4000     255.0      24.1     133.9   -0.6510      12.0      19.5
      4000     255.0      25.7     101.8   -0.5208       0.0      21.0
      4000     255.0      23.4     213.6   -0.3906      17.0      22.5
      4000     255.0      21.9      31.8    0.2604       6.0      18.0
      4000     255.0      16.2      53.0    0.3906       0.0      18.0
      4050     245.0       9.7     210.6   -1.0417       8.0      12.0
      4050     245.0       9.0     208.7   -0.9115       2.0      13.5
      4050     245.0      11.5     200.7   -0.7812       8.0      16.5
      4050     245.0      10.3     213.0   -0.6510      11.0      24.0
      4050     245.0      11.8     205.8   -0.5208      12.0      25.5
      4050     245.0      17.6     194.2   -0.3906      11.0      21.0
      4050     245.0       8.2     192.8   -0.2604      18.0      13.5
      4050     245.0       9.0     120.4    0.1302      10.0      19.5
      4050     245.0       8.6     102.4    0.2604      14.0      19.5
      4050     245.0      19.0     104.0    0.5208      14.0      21.0
      4050     245.0      15.7     101.8    0.6510      10.0      16.5
      4050     247.0      10.3     202.7   -0.7812       7.0      22.5
      4050     247.0       6.6     216.9   -0.6510      10.0      33.0
      4050     247.0       6.5     197.4   -0.5208      12.0      40.5
      4050     247.0       7.6     198.1   -0.3906      13.0      36.0
      4050     247.0       5.6     129.6   -0.2604      12.0      33.0
      4050     247.0       4.5     118.7   -0.1302      12.0      40.5
      4050     247.0       1.7     -10.5    0.1302      10.0      37.5
      4050     247.0      38.6     122.5    0.2604      21.0      28.5
      4050     247.0       9.5      85.1    0.3906      14.0      31.5
      4050     247.0       9.7      17.4    0.5208      26.0      24.0
      4050     250.0       3.4     234.5   -0.6510      10.0      33.0
      4050     250.0       5.7     151.5   -0.5208      11.0      39.0
      4050     250.0       3.9     165.1   -0.3906      10.0      43.5
      4050     250.0       7.7     263.7   -0.2604       6.0      36.0
