2012.06.16 (168) 09:52:41.000
Station name: Zhong Shan
URSI code: ZS36R
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 0.500   95.0  90  54  63   3.906  90.0  30.0  104
 0.600  147.5 -90  51  60   5.469  90.0  30.0  149
 0.900  252.5  90  39  48  -0.781 150.0  30.0  242
 0.900  425.0  90  39  48   0.781 150.0  30.0  411
 0.900  452.5  90  39  48   3.906  90.0  30.0  464
 0.900  495.0  90  39  48  -5.469 150.0  30.0  487
 0.900  507.5  90  39  48  -5.469 150.0  30.0  499
 0.900  522.5  90  39  48   5.469 150.0  30.0  508
 0.900  605.0  90  39  48   5.469 150.0  30.0  608
 0.900  607.5  90  39  48   5.469 150.0  30.0  612
 0.900  612.5  90  39  48   5.469 150.0  30.0  619
 0.900  657.5  90  39  48  -5.469 150.0  30.0  651
 0.900 1190.0  90  39  48  -0.781 150.0  30.0 1198
 0.900 1192.5  90  39  48  -2.344 150.0  30.0 1197
 0.900 1195.0  90  39  48   5.469 150.0  30.0 1204
 0.900 1197.5  90  39  48  -5.469 150.0  30.0 1204
 0.900 1200.0  90  39  48  -5.469 150.0  30.0 1207
 0.900 1257.5  90  39  48   0.781 150.0  30.0 1266
 0.900 1260.0  90  39  48  -5.469 150.0  30.0 1262
 0.900 1275.0  90  39  48   3.906 150.0  30.0 1261
 0.900 1277.5  90  39  48   5.469 150.0  30.0 1274
 0.900 1280.0  90  39  48   0.781 150.0  30.0 1278
 0.900 1282.5  90  39  48   0.781 150.0  30.0 1281
 1.050 1170.0  90  39  48   3.906   0.0   0.0 1166
 1.250  167.5 -90  33  42   2.344 150.0  30.0  170
 1.250  462.5 -90  33  42   2.344  90.0  30.0  458
 1.300  107.5  90  36  48   0.781  90.0  30.0  108
 1.300   87.5 -90  33  42  -0.781 210.0  30.0   86
 1.300  107.5 -90  33  45   0.781 330.0  30.0  107
 1.300  110.0 -90  33  45  -0.781  30.0  30.0  106
 1.350 1252.5  90  36  45  -2.344 150.0  30.0 1262
 1.350 1255.0  90  36  45  -2.344 150.0  30.0 1265
 1.350 1212.5 -90  36  45  -2.344 150.0  30.0 1225
 1.350 1225.0 -90  36  45   0.781 150.0  30.0 1227
 1.350 1257.5 -90  36  45  -5.469 150.0  30.0 1251
 1.450  107.5  90  33  42  -0.781 150.0  30.0  105
 1.450  110.0  90  33  48   0.781   0.0   0.0  108
 1.500  107.5  90  36  45   0.781 150.0  30.0  107
 1.500  110.0  90  36  51  -0.781   0.0   0.0  109
 1.500  110.0 -90  33  42   0.781 330.0  30.0  109
 1.550  110.0  90  33  48   0.781   0.0   0.0  108
 1.550  112.5  90  33  42   0.781 210.0  30.0  109
 1.600  110.0  90  36  51  -0.781   0.0   0.0  110
 1.600  112.5  90  36  48   0.781   0.0   0.0  109
 1.600  110.0 -90  36  45   0.781  30.0  30.0  109
 1.650  110.0  90  33  57   0.781   0.0   0.0  109
 1.650  112.5  90  33  57   0.781   0.0   0.0  110
 1.650  117.5  90  33  42   0.781  30.0  30.0  113
 1.650  110.0 -90  33  51   0.781  30.0  30.0  111
 1.650  112.5 -90  33  51   0.781  30.0  30.0  110
 1.650  595.0 -90  33  42  -2.344 150.0  30.0  604
 1.650  882.5 -90  33  42   0.781 150.0  30.0  869
 1.700  112.5  90  36  48  -0.781   0.0   0.0  111
 1.700  110.0 -90  33  45  -0.781   0.0   0.0  111
 1.700  112.5 -90  33  48   0.781  30.0  30.0  110
 1.750  107.5  90  30  39   0.781  90.0  30.0  107
