2012.06.16 (168) 09:37:41.000
Station name: Zhong Shan
URSI code: ZS36R
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 1.550  110.0  90  33  54  -0.781   0.0   0.0  109
 1.650  112.5  90  33  57  -0.781   0.0   0.0  112
 1.650  115.0  90  33  54   0.781   0.0   0.0  112
 1.750  110.0  90  30  57   0.781   0.0   0.0  109
 1.750  112.5  90  30  51   0.781  90.0  30.0  110
 1.750  110.0 -90  30  54   0.781 150.0  30.0  109
 1.750  112.5 -90  30  51   0.781  30.0  30.0  111
 2.050  112.5  90  30  51   0.781   0.0   0.0  111
 2.050  117.5  90  30  51   0.781   0.0   0.0  115
 2.050  120.0  90  30  51   0.781   0.0   0.0  118
 2.050  147.5  90  30  51   0.781 210.0  30.0  145
 2.050  150.0  90  30  51   0.781 210.0  30.0  146
 2.050  112.5 -90  30  54   0.781  30.0  30.0  111
 2.050  117.5 -90  30  51   0.781  90.0  30.0  115
 2.050  122.5 -90  30  51   0.781  90.0  30.0  120
 2.100  110.0  90  33  54   0.781   0.0   0.0  109
 2.100  115.0  90  33  54   0.781   0.0   0.0  114
 2.100  110.0 -90  33  54   0.781  30.0  30.0  108
 2.150  115.0  90  30  51   0.781   0.0   0.0  114
 2.150  140.0  90  30  51   0.781 210.0  30.0  137
 2.150  112.5 -90  30  51   0.781  30.0  30.0  110
 2.150  115.0 -90  30  54   0.781 210.0  30.0  113
 2.200  115.0  90  30  51   0.781   0.0   0.0  113
 2.200  115.0 -90  30  51   0.781  90.0  30.0  114
 2.250  117.5  90  30  51   0.781   0.0   0.0  116
 2.250  117.5 -90  27  51   0.781 210.0  30.0  115
 2.250  122.5 -90  27  48   0.781  90.0  30.0  121
 2.300  117.5  90  30  51   0.781 270.0  30.0  117
 2.300  120.0  90  30  54   0.781   0.0   0.0  118
 2.300  117.5 -90  30  51   0.781  30.0  30.0  118
 2.300  120.0 -90  30  54   0.781  30.0  30.0  118
 2.350  112.5  90  30  51   0.781   0.0   0.0  111
 2.350  117.5  90  30  51   0.781   0.0   0.0  117
 2.350  120.0  90  30  57   0.781   0.0   0.0  118
 2.350  125.0  90  30  51   0.781 330.0  30.0  123
 2.350  142.5  90  30  51   0.781   0.0   0.0  140
 2.350  115.0 -90  30  51   0.781  30.0  30.0  113
 2.350  117.5 -90  30  51   0.781  30.0  30.0  118
 2.350  120.0 -90  30  57   0.781  30.0  30.0  118
 2.350  125.0 -90  30  51   0.781  30.0  30.0  123
 2.400  115.0  90  30  54   0.781 330.0  30.0  113
 2.400  117.5  90  30  57   0.781 330.0  30.0  116
 2.400  122.5  90  30  54   0.781   0.0   0.0  120
 2.400  125.0  90  30  51   0.781 330.0  30.0  123
 2.400  115.0 -90  30  54   0.781  30.0  30.0  114
 2.400  117.5 -90  30  54   0.781  30.0  30.0  116
 2.400  122.5 -90  30  54   0.781  30.0  30.0  121
 2.450  117.5  90  30  60   0.781 330.0  30.0  106
 2.450  120.0  90  30  54   0.781 330.0  30.0  107
 2.450  122.5  90  30  54   0.781   0.0   0.0  110
 2.450  125.0  90  30  51  -0.781 330.0  30.0  112
 2.450  132.5  90  30  51   0.781   0.0   0.0  123
 2.450  135.0  90  30  51   0.781   0.0   0.0  125
 2.450  137.5  90  30  57   0.781   0.0   0.0  126
 2.450  140.0  90  30  54   0.781   0.0   0.0  129
 2.450  142.5  90  30  57   0.781   0.0   0.0  131
 2.450  145.0  90  30  54   0.781   0.0   0.0  136
 2.450  147.5  90  30  54   0.781   0.0   0.0  139
 2.450  152.5  90  30  51   0.781   0.0   0.0  138
 2.450  117.5 -90  27  48   0.781  30.0  30.0  106
 2.550  137.5  90  30  51   0.781   0.0   0.0  136
 2.550  132.5 -90  27  48   0.781  30.0  30.0  131
 2.600  127.5  90  27  54   0.781   0.0   0.0  126
 2.600  135.0  90  27  51   0.781   0.0   0.0  133
 2.600  140.0  90  27  48   0.781   0.0   0.0  138
 2.600  142.5  90  27  51   0.781   0.0   0.0  141
 2.600  145.0  90  27  48   0.781   0.0   0.0  144
 2.600  142.5 -90  27  48   0.781  30.0  30.0  141
 2.650  125.0  90  30  57   0.781   0.0   0.0  124
 2.650  127.5  90  30  57   0.781   0.0   0.0  125
 2.650  130.0  90  30  51   0.781   0.0   0.0  130
 2.650  132.5  90  30  51   0.781   0.0   0.0  131
 2.650  135.0  90  30  54   0.781   0.0   0.0  135
 2.650  137.5  90  30  54   0.781   0.0   0.0  136
 2.650  140.0  90  30  51   0.781   0.0   0.0  139
 2.650  125.0 -90  27  48   0.781  30.0  30.0  125
 2.650  127.5 -90  27  48   0.781  30.0  30.0  125
 2.650  137.5 -90  27  48   0.781  30.0  30.0  136
 2.700  125.0  90  30  51   0.781   0.0   0.0  125
 2.700  127.5  90  30  51   0.781   0.0   0.0  128
 2.700  130.0  90  30  54   0.781   0.0   0.0  128
 2.700  137.5  90  30  57   0.781   0.0   0.0  136
 2.700  140.0  90  30  54   0.781   0.0   0.0  139
 2.700  142.5  90  30  51   0.781   0.0   0.0  141
 2.700  240.0  90  30  51   0.781   0.0   0.0  238
 2.700  130.0 -90  27  48   0.781  90.0  30.0  127
 2.700  137.5 -90  27  48   0.781  30.0  30.0  136
 2.750  127.5  90  30  54  -0.781   0.0   0.0  127
 2.750  130.0  90  30  51   0.781   0.0   0.0  128
 2.750  140.0  90  30  51   0.781   0.0   0.0  140
 2.750  245.0  90  30  51   0.781 150.0  30.0  244
 2.800  125.0  90  30  51   0.781   0.0   0.0  125
 2.800  127.5  90  30  51   0.781   0.0   0.0  124
 2.800  235.0  90  30  51   0.781   0.0   0.0  234
 2.800  237.5  90  30  54   0.781   0.0   0.0  235
 2.800  250.0  90  30  51   0.781 150.0  30.0  248
 2.800  237.5 -90  30  51   0.781  90.0  30.0  235
 2.850  127.5  90  27  54   0.781   0.0   0.0  125
 2.850  235.0  90  27  54   0.781   0.0   0.0  233
 2.850  237.5  90  27  48   0.781   0.0   0.0  233
