2012.06.16 (168) 10:00:11.000
Station name: Zhong Shan
URSI code: ZS36R
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 2.900  112.5  90  27  36   0.781   0.0   0.0  114
 2.900  115.0  90  27  48   2.344   0.0   0.0  112
 2.900  117.5  90  27  48   2.344   0.0   0.0  112
 2.900  135.0  90  27  36  -5.469 330.0  30.0  127
 2.900  137.5  90  27  36  -5.469  30.0  30.0  124
 2.900  140.0  90  27  39  -5.469 330.0  30.0  129
 2.900  145.0  90  27  39   3.906 330.0  30.0  137
 2.900  147.5  90  27  42   5.469 330.0  30.0  139
 2.900  150.0  90  27  36   5.469 330.0  30.0  138
 2.900  160.0  90  27  36   5.469   0.0   0.0  152
 2.900  162.5  90  27  36   5.469   0.0   0.0  154
 2.900  170.0  90  27  36  -5.469 330.0  30.0  155
 2.900  182.5  90  27  36   3.906  30.0  30.0  175
 2.900  185.0  90  27  42   3.906  30.0  30.0  178
 2.900  187.5  90  27  36   2.344   0.0   0.0  184
 2.900  197.5  90  27  36  -5.469  30.0  30.0  188
 2.900  110.0 -90  27  45   0.781  90.0  30.0  107
 2.900  115.0 -90  27  45   2.344  90.0  30.0  112
 2.900  117.5 -90  27  48   0.781  90.0  30.0  114
 2.900  147.5 -90  27  39   3.906 330.0  30.0  141
 2.900  150.0 -90  27  36   5.469 330.0  30.0  139
 2.900  152.5 -90  27  36   5.469  30.0  30.0  145
 2.900  185.0 -90  27  36   3.906  30.0  30.0  179
 2.950  110.0  90  30  42   0.781   0.0   0.0  107
 2.950  115.0  90  30  39   0.781   0.0   0.0  116
 2.950  117.5  90  30  48   2.344   0.0   0.0  114
 2.950  150.0  90  30  39   2.344 330.0  30.0  145
 2.950  180.0  90  30  42  -5.469  30.0  30.0  172
 2.950  182.5  90  30  39  -5.469  30.0  30.0  171
 2.950  185.0  90  30  39   0.781  30.0  30.0  183
 2.950  187.5  90  30  39  -0.781  30.0  30.0  188
 2.950  190.0  90  30  39   0.781  30.0  30.0  187
 2.950  192.5  90  30  39   0.781  30.0  30.0  191
 2.950  110.0 -90  27  42   0.781  90.0  30.0  108
 2.950  115.0 -90  27  39   0.781  90.0  30.0  114
 2.950  117.5 -90  27  48   2.344  90.0  30.0  114
 2.950  145.0 -90  27  36   2.344 330.0  30.0  140
 2.950  150.0 -90  27  36   2.344  30.0  30.0  145
 2.950  180.0 -90  27  36  -5.469  30.0  30.0  171
 2.950  185.0 -90  27  39  -0.781 330.0  30.0  183
 2.950  187.5 -90  27  36   0.781  30.0  30.0  195
