Zhong Shan, lat -69.4, lon 76.4, 2012.06.16 (168) 09:56:20, coord GM
The following filter has been applied:
ZenithMax: 40.0 deg
Only O-polarization

     F,kHz      R,km   Zen,deg    Az,deg    Dop,Hz     Error    Amp,dB
      4000     247.0       6.9     316.6    2.6042      13.0      19.5
      4000     247.0       5.5     321.6    2.7344      14.0      24.0
      4000     247.0       4.4     309.4    2.8646      13.0      24.0
      4000     247.0       6.8      -9.0    2.9948      12.0      19.5
      4000     247.0       4.7     316.5    3.1250      14.0      25.5
      4000     247.0       6.2     285.9    3.2552      13.0      19.5
      4000     247.0       5.3     271.8    3.3854      14.0      21.0
      4000     247.0       2.9     322.1    3.5156      17.0      13.5
      4000     250.0       6.1     293.2    1.0417      25.0      12.0
      4000     250.0       5.6     281.2    1.1719      24.0      12.0
      4000     250.0       5.9     285.7    2.0833      22.0      12.0
      4000     250.0       4.4     232.4    2.2135      11.0      12.0
      4000     250.0       4.5      -3.8    2.4740      11.0      25.5
      4000     250.0       6.3      -7.7    2.6042      11.0      30.0
      4000     250.0      22.5     -16.2    2.7344      17.0      18.0
      4000     250.0       4.1     286.5    2.8646      15.0      34.5
      4000     250.0       4.7     265.4    2.9948      16.0      30.0
      4000     250.0      10.8      29.0    3.1250      10.0      21.0
      4000     250.0       2.2     271.5    3.2552      10.0      31.5
      4000     250.0       8.6     265.8    3.3854      19.0      24.0
      4000     250.0       6.1     290.8    3.5156      13.0      36.0
      4000     250.0       6.3     289.6    3.6458      13.0      28.5
      4000     250.0       3.9     299.6    3.7760      15.0      22.5
      4000     250.0       5.6     298.6    3.9063      14.0      22.5
      4000     252.0       4.2      18.4    2.0833      16.0      18.0
      4000     252.0       7.5      25.0    2.2135      13.0      21.0
      4000     252.0       7.4      11.9    2.3438      15.0      27.0
      4000     252.0       7.2      11.5    2.4740      14.0      28.5
      4000     252.0       7.2       9.5    2.6042      13.0      28.5
      4000     252.0       5.1      10.1    2.7344      11.0      24.0
      4000     252.0       1.1     -23.0    2.8646      14.0      30.0
      4000     252.0       5.5     187.0    2.9948      13.0      25.5
      4000     252.0      10.2     310.0    3.1250       6.0      16.5
      4000     252.0       3.4     210.8    3.2552      12.0      28.5
      4000     252.0       8.2     299.4    3.3854      13.0      27.0
      4000     252.0       4.5     285.3    3.5156      13.0      34.5
      4000     252.0       3.9     272.4    3.6458      13.0      27.0
      4000     252.0       3.0     307.3    3.7760      13.0      21.0
      4000     252.0       4.4     309.4    3.9063      15.0      19.5
      4000     255.0       8.2      44.5    2.0833      13.0      13.5
      4000     255.0       7.4      30.1    2.2135      13.0      16.5
      4000     255.0       6.9      23.1    2.3438      14.0      21.0
      4000     255.0       7.1      28.3    2.4740      14.0      19.5
      4000     255.0       7.0      35.0    2.6042      14.0      12.0
      4000     255.0       7.0     127.1    2.9948      10.0      16.5
      4000     255.0       7.1     283.6    3.1250       0.0      13.5
      4000     255.0       4.8     240.4    3.2552      11.0      18.0
      4000     255.0       7.4     138.1    3.3854      14.0      16.5
      4000     255.0       3.9     167.8    3.5156      14.0      22.5
      4000     255.0       5.7     190.2    3.6458      17.0      18.0
      4000     255.0       7.8     191.4    3.7760      13.0      18.0
      4000     255.0       8.0     199.2    3.9063      12.0      19.5
      4000     257.0       9.7     115.1    2.7344      12.0      12.0
      4000     257.0      10.3     111.3    2.8646      11.0      16.5
      4000     257.0       6.3     109.6    2.9948      15.0      18.0
      4000     257.0       7.7     168.0    3.1250      12.0      21.0
