Zhong Shan, lat -69.4, lon 76.4, 2012.06.16 (168) 09:56:20, coord GM
The following filter has been applied:
ZenithMax: 40.0 deg
Only O-polarization

     F,kHz      R,km   Zen,deg    Az,deg    Dop,Hz     Error    Amp,dB
      4000     257.0       7.2     145.1    3.2552      12.0      25.5
      4000     257.0       5.9     132.9    3.3854      16.0      18.0
      4000     257.0       8.4     123.7    3.6458      16.0      15.0
      4000     257.0       7.7     181.1    3.7760      15.0      27.0
      4000     257.0       8.0     197.3    3.9063      14.0      31.5
      4000     257.0       8.9     213.0    4.0365      14.0      24.0
      4000     257.0      11.4     205.3    4.1667      15.0      21.0
      4000     257.0      10.7     192.9    4.2969      13.0      21.0
      4050     247.0       6.9     332.4    2.6042       9.0      16.5
      4050     247.0       8.9     -19.4    2.7344       9.0      15.0
      4050     247.0       6.5     320.6    2.9948       9.0      19.5
      4050     247.0       5.2     328.9    3.1250      10.0      18.0
      4050     247.0       4.5     307.3    3.2552       7.0      13.5
      4050     247.0       4.1     318.6    3.3854      19.0      15.0
      4050     250.0       6.6     314.0    2.3438       6.0      15.0
      4050     250.0       3.0     -12.4    2.4740      12.0      25.5
      4050     250.0       3.6     -11.1    2.6042      14.0      33.0
      4050     250.0       3.4      -7.5    2.7344      13.0      31.5
      4050     250.0       4.0     306.9    2.8646      12.0      31.5
      4050     250.0       5.4     321.1    2.9948      13.0      36.0
      4050     250.0       5.0     301.0    3.1250      13.0      33.0
      4050     250.0       5.3     303.3    3.2552      11.0      36.0
      4050     250.0       5.6     298.6    3.3854      12.0      39.0
      4050     250.0       6.9     286.6    3.5156      15.0      30.0
      4050     250.0       4.2     321.8    3.6458       9.0      24.0
      4050     250.0       6.7     295.4    3.7760      13.0      22.5
      4050     252.0       5.8      -6.3    2.3438      12.0      27.0
      4050     252.0       4.9       3.6    2.4740      14.0      31.5
      4050     252.0       3.2       8.0    2.6042      13.0      31.5
      4050     252.0       3.4     327.5    2.7344      12.0      28.5
      4050     252.0       5.5     333.2    2.8646      12.0      30.0
      4050     252.0       1.8     247.0    2.9948      16.0      30.0
      4050     252.0       3.7     287.9    3.1250      12.0      33.0
      4050     252.0       4.8     282.5    3.2552      13.0      36.0
      4050     252.0       5.1     287.6    3.3854      14.0      39.0
      4050     252.0       6.1     282.1    3.5156      15.0      34.5
      4050     252.0       5.8     281.7    3.6458      14.0      27.0
      4050     252.0       5.0     283.0    3.7760      14.0      22.5
      4050     252.0       4.9     276.5    3.9063      15.0      19.5
      4050     252.0       3.8     282.2    4.0365      16.0      19.5
      4050     252.0       3.3     280.7    4.1667      18.0      18.0
      4050     252.0       3.8     276.1    4.2969      18.0      16.5
      4050     252.0       5.8     277.7    4.4271      13.0      18.0
      4050     255.0       6.7     -15.1    2.3438       9.0      12.0
      4050     255.0       5.3      10.7    2.4740      14.0      19.5
      4050     255.0       5.4      29.0    2.6042      16.0      13.5
      4050     255.0       2.4     332.6    2.7344      23.0      15.0
      4050     255.0       4.8     179.6    2.8646      24.0      18.0
      4050     255.0       2.0     135.2    2.9948      15.0      24.0
      4050     255.0       1.3     100.7    3.1250      10.0      21.0
      4050     255.0       3.0     182.0    3.2552       9.0      19.5
      4050     255.0       5.0     161.2    3.3854      13.0      21.0
      4050     255.0       5.0     163.3    3.5156      13.0      21.0
      4050     255.0       8.0     161.0    3.6458      12.0      21.0
      4050     255.0       5.2     175.4    3.7760      12.0      19.5
      4050     257.0       4.7     170.5    1.4323      13.0      12.0
      4050     257.0       4.1     159.6    1.5625      11.0      12.0
      4050     257.0       7.1      58.0    2.3438      14.0      12.0
      4050     257.0      11.0      48.3    2.4740      19.0      13.5
      4050     257.0       6.9     161.6    2.7344      13.0      15.0
      4050     257.0       4.1     154.4    2.8646       9.0      16.5
      4050     257.0       3.6     135.8    2.9948       9.0      16.5
      4050     257.0       6.3     162.1    3.1250       9.0      18.0
      4050     257.0       5.7     158.9    3.2552      10.0      19.5
      4050     257.0       5.0     152.8    3.3854      14.0      22.5
      4050     257.0       7.4     151.3    3.5156      13.0      25.5
      4050     257.0       7.2     161.4    3.6458      13.0      30.0
      4050     257.0       7.4     182.3    3.7760      12.0      30.0
      4050     257.0       8.4     198.4    3.9063      11.0      25.5
      4050     257.0       8.0     201.1    4.0365      14.0      24.0
      4050     257.0       9.9     195.2    4.1667      14.0      25.5
      4050     257.0      11.2     192.5    4.2969      11.0      18.0
      4050     257.0       9.7     180.6    4.4271      15.0      16.5
      4050     257.0       9.0     179.9    4.5573      17.0      15.0
      4050     257.0       9.1     178.4    4.6875      14.0      15.0
      4050     257.0       9.8     182.6    4.8177       9.0      12.0
      4050     257.0      11.3     195.4    4.9479      12.0      13.5
      4050     257.0      10.7     195.7    5.0781      19.0      13.5
      4050     257.0      10.9     186.6    5.2083      21.0      12.0
      4100     250.0       6.1       2.0    1.4323       6.0      12.0
      4100     250.0       6.3     -16.3    1.5625      10.0      13.5
      4100     250.0       5.0     332.8    1.6927      12.0      15.0
      4100     250.0       5.6     327.5    1.8229      16.0      12.0
      4100     250.0       3.4      -7.5    2.0833      11.0      12.0
      4100     250.0       4.5     -15.9    2.2135       8.0      13.5
      4100     250.0       5.2      24.9    2.3438      14.0      12.0
      4100     250.0       5.8     329.7    2.4740      14.0      21.0
      4100     250.0       8.6     329.6    2.6042      13.0      25.5
      4100     250.0      12.6     334.5    2.7344       6.0      25.5
      4100     250.0       5.5     333.2    2.8646      10.0      36.0
      4100     250.0       5.2     335.0    2.9948      11.0      37.5
      4100     250.0       6.7     333.8    3.1250       6.0      24.0
      4100     250.0       6.0     315.2    3.2552      10.0      36.0
      4100     250.0       6.4     297.8    3.3854      11.0      31.5
      4100     250.0       5.5     304.4    3.5156      13.0      21.0
      4100     250.0       6.8     302.0    3.6458      14.0      22.5
      4100     250.0       6.4     320.1    3.9063      14.0      15.0
      4100     250.0       4.0      -9.6    4.0365       9.0      12.0
      4100     250.0       2.8     329.4    4.5573      15.0      12.0
      4100     250.0       5.5     -23.0    4.6875      12.0      13.5
      4100     250.0       8.0     -19.0    4.8177      11.0      12.0
      4100     252.0       6.1     -23.0    2.0833      14.0      16.5
      4100     252.0       6.2      -0.2    2.2135      14.0      21.0
      4100     252.0       6.7      16.4    2.3438      13.0      25.5
      4100     252.0       5.9      25.8    2.4740      12.0      25.5
      4100     252.0       9.1     330.0    2.6042      11.0      25.5
      4100     252.0       6.7     -15.1    2.7344      11.0      31.5
      4100     252.0       4.6     334.7    2.8646      12.0      37.5
      4100     252.0       3.3     330.7    2.9948      12.0      36.0
      4100     252.0       5.0     298.0    3.1250      10.0      31.5
      4100     252.0       5.1     306.8    3.2552      11.0      37.5
      4100     252.0       5.6     298.6    3.3854      12.0      37.5
      4100     252.0       5.2     305.0    3.5156      12.0      33.0
      4100     252.0       6.3     294.4    3.6458      13.0      28.5
      4100     252.0       6.7     266.4    3.7760      15.0      18.0
      4100     252.0       5.4     301.7    3.9063      13.0      19.5
      4100     252.0       4.2     313.8    4.0365      14.0      18.0
      4100     252.0       3.8     308.0    4.4271       9.0      15.0
      4100     252.0       4.6     330.2    4.5573       9.0      18.0
      4100     252.0       5.7     331.5    4.6875       7.0      16.5
      4100     255.0       8.6      31.6    1.9531      15.0      13.5
      4100     255.0       9.5      46.5    2.0833      12.0      16.5
      4100     255.0      10.3       2.6    2.2135       9.0      15.0
      4100     255.0       8.6       5.2    2.3438      12.0      22.5
      4100     255.0       8.3      13.9    2.4740      12.0      25.5
      4100     255.0      10.9       3.1    2.6042       4.0      13.5
      4100     255.0       3.5      15.7    2.7344      13.0      24.0
      4100     255.0       2.3     143.0    2.8646      14.0      24.0
      4100     255.0       3.2      98.0    2.9948      14.0      25.5
      4100     255.0       0.9     193.9    3.1250      14.0      22.5
      4100     255.0       0.4     247.0    3.2552      11.0      24.0
      4100     255.0       3.6     122.5    3.3854       9.0      19.5
      4100     255.0       2.6     259.1    3.5156      14.0      22.5
      4100     255.0       4.6     197.1    3.6458      15.0      21.0
      4100     257.0       1.8      43.0    1.8229      17.0      12.0
      4100     257.0       9.9      53.0    1.9531      14.0      15.0
      4100     257.0       8.8      44.8    2.0833      12.0      19.5
      4100     257.0       6.9      43.2    2.2135      12.0      16.5
      4100     257.0       7.7     201.0    3.1250      12.0      15.0
      4100     257.0       4.8     179.6    3.2552      13.0      18.0
      4100     257.0       6.8     168.0    3.3854      10.0      22.5
      4100     257.0       6.5     171.8    3.5156      12.0      27.0
      4100     257.0       6.2     183.6    3.6458      12.0      28.5
      4100     257.0       5.4     174.8    3.7760      12.0      27.0
      4100     257.0       7.4     171.4    3.9063      14.0      13.5
      4100     257.0       9.0     189.4    4.0365      13.0      22.5
      4100     257.0      10.4     191.8    4.1667      14.0      24.0
      4100     257.0      10.2     190.1    4.4271      10.0      13.5
      4100     257.0       9.5     187.6    4.5573      14.0      12.0
      4150     250.0       6.4      -9.8    2.4740      11.0      13.5
      4150     250.0       9.5     -19.6    2.6042      12.0      13.5
      4150     250.0       7.0     -18.5    2.7344      11.0      21.0
      4150     250.0       6.3     335.3    2.8646      11.0      22.5
      4150     250.0       8.8     328.5    2.9948      10.0      21.0
      4150     250.0       8.6     323.3    3.1250       9.0      22.5
      4150     250.0       7.6     332.8    3.2552       8.0      18.0
      4150     250.0       7.5     328.5    3.3854      14.0      12.0
      4150     252.0       6.3     335.3    2.3438       9.0      13.5
      4150     252.0       5.9      -8.5    2.4740      10.0      21.0
      4150     252.0       6.4       4.3    2.6042       9.0      19.5
      4150     252.0       6.3     -16.3    2.7344      10.0      22.5
      4150     252.0       6.5     332.1    2.8646       9.0      25.5
      4150     252.0       6.4     323.8    2.9948       9.0      27.0
      4150     252.0       5.3     324.9    3.1250      10.0      27.0
      4150     252.0       4.7     306.4    3.2552      11.0      25.5
      4150     252.0       6.7     305.5    3.3854      14.0      24.0
      4150     252.0       2.9     302.3    3.5156      20.0      12.0
      4150     252.0       7.1     309.1    3.6458      14.0      15.0
      4150     255.0       7.2       2.9    2.2135      13.0      16.5
      4150     255.0       6.4      10.2    2.3438      13.0      13.5
      4150     255.0       4.6      30.1    2.6042      14.0      16.5
      4150     255.0       6.5      45.5    2.7344      13.0      15.0
      4150     255.0       2.7      24.7    2.8646       8.0      16.5
      4150     255.0       1.9     320.3    2.9948       9.0      22.5
      4150     255.0       2.7     289.3    3.1250      11.0      22.5
      4150     255.0       4.6     278.8    3.2552      12.0      22.5
      4150     255.0       5.2     289.1    3.3854      11.0      19.5
      4150     257.0       3.5     109.9    2.8646       6.0      13.5
      4150     257.0       3.4     141.5    2.9948       9.0      15.0
      4150     257.0       3.8     143.0    3.1250      10.0      13.5
      4150     257.0       7.4     139.5    3.5156      16.0      15.0
      4150     257.0       6.3     150.3    3.6458      16.0      13.5
      4150     260.0      12.9     189.1    3.9063      14.0      15.0
      4150     260.0      12.0     186.8    4.0365      13.0      22.5
      4150     260.0      10.8     185.8    4.1667      13.0      19.5
      4150     260.0      13.3     180.0    4.2969      10.0      13.5
      4150     260.0      13.6     180.4    4.4271       9.0      13.5
      4200     250.0       5.6     325.7    2.7344       2.0      15.0
      4200     250.0       5.0     319.9    2.8646       0.0      15.0
      4200     250.0       4.5     317.8    2.9948       4.0      18.0
      4200     250.0       4.1     310.4    3.1250       8.0      18.0
      4200     252.0       5.2       4.5    2.3438      13.0      16.5
      4200     252.0       6.0     -10.7    2.4740      10.0      22.5
      4200     252.0       8.2      -9.9    2.6042       9.0      21.0
      4200     252.0       5.4     -19.0    2.7344      14.0      21.0
      4200     252.0       4.1     310.4    2.8646      11.0      22.5
      4200     252.0       5.7     301.3    2.9948       9.0      25.5
      4200     252.0       6.3     299.1    3.1250      10.0      25.5
      4200     252.0       5.0     292.0    3.2552      10.0      22.5
      4200     252.0       5.3     307.8    3.5156       8.0      13.5
      4200     252.0       3.3     310.4    3.6458      10.0      12.0
      4200     255.0       6.6       9.4    2.3438      12.0      16.5
      4200     255.0       6.3      -2.4    2.4740      11.0      21.0
      4200     255.0       7.2     -11.1    2.6042       9.0      19.5
      4200     255.0       3.0      -9.0    2.7344      11.0      19.5
      4200     255.0       0.6     -23.0    2.8646      12.0      24.0
      4200     255.0       2.5     289.0    2.9948      12.0      28.5
      4200     255.0       4.8     293.6    3.1250      10.0      30.0
      4200     255.0       6.3     296.8    3.2552       6.0      25.5
      4200     257.0       2.1     126.0    2.7344       5.0      15.0
      4200     257.0       1.2     138.6    2.8646       7.0      19.5
      4200     257.0       2.5     264.1    2.9948       6.0      19.5
      4200     257.0       3.8     263.7    3.1250       5.0      21.0
      4200     257.0       3.7     247.0    3.2552       6.0      18.0
      4200     257.0       5.0     193.0    3.5156      12.0      13.5
      4200     257.0       6.5     197.4    3.6458      16.0      12.0
      4200     260.0       2.7     190.7    2.9948       5.0      12.0
      4200     260.0       4.4     173.9    3.1250       6.0      13.5
      4200     260.0       4.8     152.6    3.2552       8.0      18.0
      4200     260.0       6.0     169.3    3.3854       8.0      19.5
      4200     260.0       8.4     180.2    3.5156      13.0      19.5
      4200     260.0       8.6     192.4    3.6458      14.0      19.5
      4200     260.0      13.5     220.8    3.7760      14.0      13.5
      4200     260.0      12.2     202.6    3.9063      15.0      19.5
      4200     260.0      11.6     188.9    4.0365      14.0      21.0
      4200     260.0      12.5     179.8    4.1667      12.0      16.5
      4250     265.0       8.5     101.4    2.3438      12.0      13.5
      4250     265.0      10.7     121.1    3.1250      12.0      15.0
      4250     265.0       9.0     122.0    3.2552      10.0      16.5
      4250     265.0       8.0     111.1    3.3854      16.0      13.5
      4250     265.0       7.7     148.7    3.5156       2.0      13.5
      4250     265.0       7.4     161.3    3.6458       7.0      18.0
      4250     265.0       9.9     164.5    3.7760       8.0      19.5
      4250     265.0      10.1     171.8    3.9063       7.0      19.5
      4250     265.0      11.4     173.1    4.0365       9.0      19.5
      4250     265.0       7.7     173.7    4.1667       9.0      12.0
      4250     265.0      21.9     160.5    4.8177      11.0      15.0
      4250     265.0      21.3     155.0    4.9479      12.0      16.5
      4250     265.0      21.5     156.0    5.0781      13.0      13.5
      4250     267.0      22.1     160.9    4.8177      10.0      13.5
      4250     267.0      22.9     167.0    4.9479       8.0      12.0
      4250     267.0      22.1     165.3    5.0781      13.0      15.0
      4250     267.0      23.1     169.8    5.2083      14.0      12.0
      4250     270.0      11.9      94.8    2.0833      18.0      13.5
      4250     270.0      11.2      93.6    2.2135      17.0      18.0
      4250     270.0      11.1      97.0    2.3438      15.0      21.0
      4250     270.0      11.2      95.7    2.4740       9.0      13.5
      4250     272.0      13.5      85.4    2.0833      18.0      12.0
      4250     272.0      13.7      90.1    2.2135      17.0      15.0
      4250     272.0      11.9      98.0    2.3438      12.0      15.0
      4250     272.0      11.6     108.1    2.4740      12.0      13.5
      4250     272.0      19.2     133.4    3.5156       8.0      15.0
      4250     272.0      19.3     131.7    3.6458       8.0      13.5
      4250     272.0      24.2     184.6    5.8594      13.0      13.5
      4250     272.0      22.7     184.2    5.9896      15.0      13.5
      4250     275.0      15.6     110.1    2.4740      11.0      12.0
      4250     275.0      17.1     113.3    2.6042      15.0      16.5
      4250     275.0      17.2     112.9    2.7344      17.0      19.5
      4250     275.0      17.6     114.2    2.8646      14.0      22.5
      4250     275.0      17.3     119.0    2.9948      14.0      28.5
      4250     275.0      17.1     120.0    3.1250      13.0      30.0
      4250     275.0      17.5     121.1    3.2552      12.0      24.0
      4250     275.0      16.0     126.8    3.3854       6.0      13.5
      4250     275.0      20.5     129.7    3.5156      10.0      19.5
      4250     275.0      21.3     126.1    3.6458      12.0      16.5
      4250     277.0      16.9     112.0    2.6042      17.0      12.0
      4250     277.0      17.7     112.0    2.7344      14.0      18.0
      4250     277.0      17.0     111.6    2.8646      11.0      18.0
      4250     277.0      17.9     115.0    2.9948       9.0      19.5
      4250     277.0      18.6     111.2    3.1250       8.0      19.5
      4000     245.0       4.3     327.1    2.8646      18.0      12.0
      4000     245.0       0.6     -23.0    2.9948      14.0      12.0
      4000     247.0      11.0     325.3    2.3438      17.0      12.0
      4000     247.0       9.3     332.4    2.4740      14.0      16.5
      4000     247.0       9.8     -19.8    2.6042      18.0      19.5
      4000     247.0       8.5     334.5    2.7344      15.0      19.5
      4000     247.0       9.3     324.4    2.8646      17.0      12.0
      4000     250.0      12.7     -16.3    2.4740      14.0      24.0
      4000     250.0       8.7     -21.8    2.6042      14.0      33.0
      4000     250.0       6.5     330.5    2.7344      13.0      37.5
      4000     250.0       5.8     320.3    2.8646      13.0      37.5
      4000     250.0       5.4     313.0    2.9948      13.0      37.5
      4000     250.0       5.4     313.0    3.1250      13.0      39.0
      4000     250.0       7.0     313.8    3.2552      12.0      34.5
      4000     250.0       7.3     309.8    3.3854      12.0      30.0
      4000     250.0       6.8     311.1    3.5156      11.0      25.5
      4000     252.0       3.6       7.5    2.3438      12.0      22.5
      4000     252.0       5.6     -13.5    2.4740      10.0      25.5
      4000     252.0       6.5     335.4    2.6042      10.0      28.5
      4000     252.0       6.1     330.1    2.7344      12.0      33.0
      4000     252.0       8.2     329.2    2.8646      11.0      33.0
      4000     252.0       7.2     325.1    2.9948      11.0      33.0
      4000     252.0       7.3     326.8    3.1250      14.0      34.5
      4000     252.0       7.9     312.2    3.2552      17.0      33.0
      4000     252.0       8.3     304.7    3.3854      15.0      31.5
      4000     252.0       8.6     301.6    3.5156      13.0      25.5
      4000     255.0       4.7     112.0    2.6042      13.0      15.0
      4000     255.0       4.0     135.2    2.7344      13.0      21.0
      4000     255.0       3.8     140.3    2.8646      15.0      24.0
      4000     255.0       3.8     145.7    2.9948      15.0      27.0
      4000     255.0       5.4     155.0    3.1250      14.0      25.5
      4000     255.0       6.1     182.0    3.2552      15.0      24.0
      4000     255.0       6.3     188.8    3.3854      14.0      25.5
      4000     255.0       6.8     199.8    3.5156      14.0      25.5
      4000     255.0       6.5     204.3    3.6458      14.0      21.0
      4000     257.0       4.8     110.5    2.7344      13.0      16.5
      4000     257.0       5.4     130.4    2.8646      14.0      22.5
      4000     257.0       6.1     132.0    2.9948      13.0      22.5
      4000     257.0      10.0     131.9    3.1250      15.0      22.5
      4000     257.0      10.9     136.1    3.2552      16.0      21.0
      4000     257.0       7.2     235.1    3.3854       9.0      21.0
      4000     257.0       8.7     235.9    3.5156      10.0      21.0
      4000     257.0       8.5     215.4    3.6458      12.0      21.0
      4000     257.0       9.0     199.5    3.7760      11.0      28.5
      4000     257.0       9.3     196.4    3.9063      11.0      27.0
      4000     257.0      10.8     197.8    4.0365       7.0      18.0
      4050     247.0       8.9     -20.6    2.4740       5.0      13.5
      4050     247.0       8.6     329.6    2.6042      10.0      16.5
      4050     247.0       9.4     -23.0    2.7344      12.0      15.0
      4050     247.0       7.4     331.3    2.8646      14.0      13.5
      4050     250.0      10.0     -17.7    1.5625      13.0      13.5
      4050     250.0       7.8     334.3    1.6927      16.0      12.0
      4050     250.0       7.4     331.3    1.8229      14.0      16.5
      4050     250.0       7.4     332.7    1.9531      14.0      18.0
      4050     250.0       5.6     -17.3    2.0833      13.0      21.0
      4050     250.0       6.1     -17.8    2.2135      13.0      27.0
      4050     250.0       6.8     -12.0    2.3438      14.0      30.0
      4050     250.0       7.8     -16.2    2.4740      13.0      31.5
      4050     250.0       7.4     335.6    2.6042      13.0      36.0
      4050     250.0       6.2     328.4    2.7344      12.0      39.0
      4050     250.0       5.8     326.1    2.8646      13.0      39.0
      4050     250.0       6.0     319.1    2.9948      13.0      39.0
      4050     250.0       6.6     319.1    3.1250      13.0      37.5
      4050     250.0       7.5     319.9    3.2552      11.0      31.5
      4050     250.0       6.6     319.1    3.3854      11.0      28.5
      4050     250.0       5.5     317.4    3.5156      10.0      25.5
      4050     250.0       2.4     314.4    3.6458       8.0      15.0
      4050     250.0       6.9     332.4    4.8177      19.0      13.5
      4050     250.0       6.7     333.8    4.9479      14.0      13.5
      4050     252.0       6.5     317.0    0.5208      13.0      12.0
      4050     252.0       5.1     306.8    0.6510      13.0      12.0
      4050     252.0       3.6      -1.7    1.0417      15.0      12.0
      4050     252.0       7.4     -17.3    1.8229      16.0      16.5
      4050     252.0       5.6     -17.3    1.9531      11.0      19.5
      4050     252.0       2.9      -4.6    2.0833      14.0      21.0
      4050     252.0       3.0       2.0    2.2135      15.0      25.5
      4050     252.0       3.7       3.6    2.3438      13.0      28.5
      4050     252.0       3.3       3.6    2.4740      12.0      30.0
      4050     252.0       1.9     331.3    2.6042      13.0      31.5
      4050     252.0       4.1     326.7    2.7344      14.0      37.5
      4050     252.0       3.0     323.0    2.8646      13.0      39.0
      4050     252.0       4.9     310.4    2.9948      14.0      36.0
      4050     252.0       6.9     311.8    3.1250      15.0      36.0
      4050     252.0       7.8     300.7    3.2552      13.0      33.0
      4050     252.0       8.9     292.0    3.3854      13.0      30.0
      4050     252.0       7.8     298.8    3.5156      14.0      25.5
      4050     252.0       5.4     287.8    3.6458      14.0      24.0
      4050     252.0       4.4     280.0    3.7760      11.0      21.0
      4050     252.0       3.1     316.5    3.9063      13.0      16.5
      4050     252.0       3.0     323.0    4.0365       6.0      12.0
      4050     255.0       9.3      21.2    1.8229      11.0      13.5
      4050     255.0       8.7      15.1    1.9531       9.0      18.0
      4050     255.0       9.7      18.9    2.0833      13.0      21.0
      4050     255.0      10.2      17.6    2.2135      11.0      21.0
      4050     255.0       4.9       3.6    2.3438      11.0      15.0
      4050     255.0       0.6      48.6    2.4740       9.0      16.5
      4050     255.0       1.3     100.7    2.6042      10.0      21.0
      4050     255.0       2.4     134.4    2.7344      13.0      24.0
      4050     255.0       2.2     157.0    2.8646      12.0      28.5
      4050     255.0       3.3     150.7    2.9948      14.0      24.0
      4050     255.0       8.3     285.7    3.1250      18.0      19.5
      4050     255.0      15.8     302.6    3.2552       4.0      19.5
      4050     255.0      14.8     152.7    3.5156       6.0      15.0
      4050     255.0       5.2     330.9    3.6458      22.0      12.0
      4050     255.0       2.5     273.6    3.7760       9.0      15.0
      4050     257.0       3.8      38.0    1.8229      16.0      15.0
      4050     257.0       3.5      39.1    1.9531      16.0      18.0
      4050     257.0       9.7      30.6    2.0833      16.0      16.5
      4050     257.0       7.1      42.4    2.2135      11.0      18.0
      4050     257.0       3.5      76.0    2.3438       8.0      19.5
      4050     257.0       4.3     131.5    2.4740      10.0      19.5
      4050     257.0       5.9     142.5    2.6042      11.0      18.0
      4050     257.0       5.0     133.3    2.7344      11.0      19.5
      4050     257.0       4.7     147.9    2.8646      16.0      24.0
      4050     257.0       5.0     157.0    2.9948      17.0      25.5
      4050     257.0       5.7     155.2    3.1250      19.0      18.0
      4050     257.0       6.1     151.8    3.2552      15.0      22.5
      4050     257.0       6.2     179.8    3.3854      14.0      31.5
      4050     257.0       6.9     180.8    3.5156      11.0      30.0
      4050     257.0       9.2     210.1    3.6458      18.0      22.5
      4050     257.0       9.0     199.5    3.7760      12.0      24.0
      4050     257.0       8.0     190.7    3.9063       9.0      16.5
      4050     257.0       5.5     178.5    4.0365      10.0      15.0
      4050     257.0       5.4     192.3    4.1667      13.0      16.5
      4100     250.0       7.2     334.1    0.7813       3.0      12.0
      4100     250.0       3.9     -14.9    1.1719       8.0      12.0
      4100     250.0       4.6     330.2    1.3021       7.0      15.0
      4100     250.0       9.2     -12.6    2.0833       6.0      18.0
      4100     250.0       9.6     -19.7    2.2135       9.0      22.5
      4100     250.0       9.1     -21.8    2.3438      10.0      28.5
      4100     250.0       9.1     -21.8    2.4740      10.0      33.0
      4100     250.0       9.6     -18.6    2.6042      11.0      31.5
      4100     250.0       8.5     332.0    2.7344      12.0      28.5
      4100     250.0       6.5     322.2    2.8646      11.0      34.5
      4100     250.0       6.8     323.0    2.9948      11.0      36.0
      4100     250.0       7.5     325.7    3.1250       9.0      31.5
      4100     250.0       8.7     323.6    3.2552      10.0      22.5
      4100     250.0       7.5     319.9    3.3854      11.0      24.0
      4100     250.0       7.2     314.4    3.5156      11.0      19.5
      4100     252.0       3.4     327.5    1.8229      13.0      21.0
      4100     252.0       3.9     331.6    1.9531      11.0      24.0
      4100     252.0       4.1      -4.6    2.0833      10.0      27.0
      4100     252.0       4.6      17.1    2.2135      10.0      27.0
      4100     252.0       6.8     -12.0    2.3438      12.0      30.0
      4100     252.0       8.0     -17.7    2.4740      10.0      33.0
      4100     252.0       7.5      13.0    2.6042       7.0      28.5
