2012  168   8185711        -2.30         2.22         1.69        296.4          4.3         28.6
2012  168   8285462        -2.23         1.99         1.89        301.6          3.9         29.1
2012  168   8382075        -2.17         1.88         1.79        292.9          4.2         30.7
2012  168   8478760        -2.18         1.56         1.63        295.8          4.0         32.5
2012  168   8584718        -1.78         1.80         0.98        298.4          4.0         30.3
2012  168   8678158        -1.69         1.67         0.68        302.5          3.8         32.4
2012  168   8781083        -1.66         1.49         1.01        298.5          4.2         30.3
2012  168   8865318        -1.61         1.16         1.24        299.6          4.0         33.6
2012  168   8975063        -1.78         1.94         0.93        297.9          4.3         32.0
2012  168   9070853        -2.42         1.67         1.47        301.5          3.9         30.0
2012  168   9170745        -2.87         1.43         1.57        304.5          4.1         34.1
2012  168   9268077        -2.95         1.33         1.75        301.6          3.6         28.6
2012  168   9364724        -3.12         0.89         1.88        298.2          3.7         28.9
2012  168   9462978        -3.31         0.39         1.81        299.9          3.7         29.8
2012  168   9560301        -3.34         0.24         1.77        293.7          3.7         31.0
2012  168   9658484        -3.29        -0.07         1.74        298.8          3.9         32.2
2012  168   9759059        -3.40         0.13         1.90        298.3          3.5         27.4
2012  168   9845749        -3.07         0.84         1.89        303.7          3.6         34.7
2012  168   9958421        -3.07         0.60         1.81        305.8          4.1         34.4
2012  168  10052002        -3.18         0.38         1.77        301.5          3.7         27.5
2012  168  10151718        -3.17         0.47         1.54        306.3          4.0         28.9
2012  168  10246833        -3.13         0.65         1.64        306.4          3.9         28.9
2012  168  10345867        -2.85         0.93         1.89        302.8          3.9         33.2
2012  168  10443198        -2.75         0.81         1.97        305.7          4.0         32.6
2012  168  10542232        -1.74         1.76         1.64        298.2          4.0         31.1
2012  168  10639562        -1.67         1.73         1.89        301.1          4.1         28.0
2012  168  10737746        -1.94         1.58         1.87        299.2          4.1         29.6
2012  168  10825119        -1.63         1.88         1.72        305.1          3.7         32.6
2012  168  10934962        -1.64         1.80         2.11        307.9          4.0         29.0
2012  168  11028402        -1.48         1.78         2.20        305.5          4.1         27.3
2012  168  11130545        -1.44         1.83         2.20        308.1          4.1         27.4
2012  168  11227835        -1.58         1.91         2.11        305.0          4.2         27.2
2012  168  11326017        -1.62         1.93         2.00        305.0          4.1         27.4
2012  168  11424201        -1.58         1.66         1.94        304.6          3.8         32.2
2012  168  11524057        -1.75         1.86         2.03        305.0          4.5         28.6
2012  168  11621388        -1.93         1.71         2.16        304.0          4.4         24.1
2012  168  11718107        -1.77         2.24         1.74        308.8          4.3         26.7
2012  168  11807726        -1.75         1.42         2.26        304.5          3.9         30.6
2012  168  11915113        -1.52         1.55         2.22        305.1          4.1         28.3
2012  168  12013295        -1.37         1.58         2.47        306.1          3.9         27.1
2012  168  12110836        -0.49         1.78         2.80        310.7          4.8         33.5
2012  168  12211195        -0.02         1.93         3.13        310.3          4.0         22.6
2012  168  12303416        -0.76         2.08         2.86        305.9          4.1         24.9
2012  168  12401598        -1.12         1.94         2.72        307.0          4.1         25.8
2012  168  12505742        -0.70         2.16         2.79        308.3          3.7         23.3
2012  168  12600857        -0.83         2.20         2.63        307.8          3.7         25.1
2012  168  12697503        -1.47         1.93         2.32        302.8          4.0         28.2
2012  168  12789551        -1.34         1.56         2.33        302.6          3.7         29.7
2012  168  12896937        -1.10         1.44         2.49        304.3          3.9         27.2
2012  168  12995121        -1.12         1.30         2.61        304.2          3.9         26.6
