Zhong Shan, lat -69.4, lon 76.4, 2012.06.16 (168) 10:03:50, coord GM
The following filter has been applied:
ZenithMax: 40.0 deg
Only O-polarization

     F,kHz      R,km   Zen,deg    Az,deg    Dop,Hz     Error    Amp,dB
      4000     282.0       6.3      58.6    0.7813      13.0      13.5
      4000     285.0       3.9     162.4   -3.2552      13.0      21.0
      4000     285.0       5.2     179.9   -3.1250      13.0      25.5
      4000     285.0       5.8     187.7   -2.9948      13.0      28.5
      4000     285.0       5.6     184.4   -2.8646      14.0      30.0
      4000     285.0       5.2     175.4   -2.7344      15.0      27.0
      4000     285.0       6.7     163.3   -2.6042      16.0      24.0
      4000     285.0       9.8     138.2   -2.4740      12.0      21.0
      4000     285.0       8.0     151.7   -2.3437      14.0      27.0
      4000     285.0      10.3     149.8   -2.2135      17.0      22.5
      4000     285.0       4.6      13.9   -1.8229      17.0      21.0
      4000     285.0       1.4     117.2   -1.6927      12.0      31.5
      4000     285.0       2.6     144.9   -1.5625      12.0      34.5
      4000     285.0       2.7     141.1   -1.4323      14.0      33.0
      4000     285.0       3.1     107.2   -1.3021      15.0      28.5
      4000     285.0       3.3      50.6   -1.1719      18.0      24.0
      4000     285.0       2.1      82.3   -1.0417      11.0      27.0
      4000     285.0       1.7      85.4   -0.9115      13.0      33.0
      4000     285.0       1.7      48.6   -0.7812      13.0      33.0
      4000     285.0       2.8      90.2   -0.6510      12.0      33.0
      4000     285.0       4.2     104.9   -0.5208      12.0      33.0
      4000     285.0       6.1      86.5   -0.3906      14.0      24.0
      4000     285.0       4.0      33.3   -0.2604      17.0      24.0
      4000     285.0       3.5      15.7   -0.1302      16.0      27.0
      4000     285.0      12.1     113.3    0.3906      13.0      21.0
      4000     285.0      10.8      93.6    0.5208      14.0      25.5
      4000     285.0       8.0      69.7    0.6510      12.0      28.5
      4000     285.0       7.4      54.0    0.7813      11.0      25.5
      4000     285.0       9.9      43.8    1.0417      15.0      24.0
      4000     285.0       9.6      22.8    1.3021      15.0      22.5
      4000     287.0       8.9     217.3   -4.8177      14.0      13.5
      4000     287.0       8.6     192.4   -4.6875      12.0      19.5
      4000     287.0       9.6     195.0   -4.5573      13.0      22.5
      4000     287.0       8.9     198.6   -4.4271      12.0      21.0
      4000     287.0       6.8     217.7   -3.9063       9.0      13.5
      4000     287.0       8.8     183.0   -3.7760      15.0      19.5
      4000     287.0       6.9     196.6   -3.6458      19.0      16.5
      4000     287.0       6.4     138.6   -3.2552       9.0      18.0
      4000     287.0       8.0     166.3   -3.1250      12.0      25.5
      4000     287.0       6.4     175.4   -2.9948      14.0      28.5
      4000     287.0       5.1     167.5   -2.8646      14.0      28.5
      4000     287.0       5.5     157.0   -2.7344      14.0      27.0
      4000     287.0       7.0     155.5   -2.6042      13.0      25.5
      4000     287.0      11.8     139.7   -2.4740      11.0      22.5
      4000     287.0      10.3     147.7   -2.3437      12.0      25.5
      4000     287.0       9.4     147.9   -2.2135      12.0      24.0
      4000     287.0       4.9     127.5   -1.6927      10.0      19.5
      4000     287.0       5.4     149.2   -1.5625      13.0      24.0
      4000     287.0       3.6     126.5   -1.4323      15.0      22.5
      4000     287.0       4.2      95.8   -1.3021      14.0      24.0
      4000     287.0       4.0      88.8   -1.1719      15.0      25.5
      4000     287.0       9.6      24.4   -1.0417      21.0      16.5
      4000     287.0       1.9      55.7   -0.9115      13.0      25.5
      4000     287.0       3.0      56.4   -0.7812      12.0      27.0
      4000     287.0       5.0      90.8   -0.6510      13.0      25.5
      4000     287.0       9.6     109.7   -0.5208      14.0      21.0
      4000     287.0      22.7     106.9   -0.3906      22.0      12.0
      4000     287.0      11.4     320.9   -0.2604      21.0      15.0
      4000     287.0       8.2     -15.2   -0.1302      17.0      16.5
      4000     287.0       7.6      60.1    0.3906      17.0      15.0
      4000     287.0      14.1      92.9    0.5208      10.0      21.0
      4000     287.0       9.3      64.7    0.6510      14.0      21.0
      4000     287.0      10.1      73.3    0.9115      12.0      16.5
      4000     287.0      11.7      48.6    1.0417      12.0      19.5
      4000     287.0      11.9      46.0    1.1719      14.0      22.5
      4000     287.0       9.2      50.7    1.3021      16.0      22.5
      4000     287.0       9.8      70.2    1.4323      14.0      19.5
      4000     287.0      12.8      65.3    1.5625       9.0      15.0
      4000     287.0       7.2      67.0    1.9531      13.0      12.0
      4000     287.0       9.9      60.5    2.0833      15.0      13.5
      4000     290.0      11.8     199.5   -4.2969      18.0      12.0
      4000     290.0      11.1     187.0   -4.1667      16.0      15.0
      4000     290.0      11.0     189.6   -4.0365      17.0      12.0
      4000     290.0      11.2     107.3   -0.1302      12.0      13.5
      4000     290.0      11.0     104.5    0.1302       6.0      12.0
      4000     290.0      15.9      92.1    0.2604      15.0      13.5
      4000     290.0      11.6      91.5    0.3906      15.0      18.0
      4000     290.0      12.4      84.4    0.5208      10.0      16.5
      4000     290.0      18.3      84.9    0.6510      15.0      12.0
      4000     290.0      14.5      85.0    1.8229      10.0      13.5
      4000     290.0      11.3      78.3    1.9531      12.0      13.5
      4050     277.0       9.5     239.2   -4.6875      12.0      22.5
      4050     277.0       9.1     242.3   -4.5573      12.0      19.5
      4050     277.0       5.7     252.5   -4.0365      13.0      22.5
      4050     277.0       5.9     254.1   -3.9063      12.0      21.0
      4050     277.0       8.9     250.6   -3.7760      14.0      19.5
      4050     277.0       8.2     256.0   -3.6458      15.0      21.0
      4050     280.0      10.5     236.9   -6.2500      14.0      24.0
      4050     280.0      11.0     234.4   -6.1198      14.0      25.5
      4050     280.0      11.1     229.5   -5.9896      13.0      22.5
      4050     280.0      11.3     237.5   -4.8177      12.0      22.5
      4050     280.0       9.7     240.4   -4.6875      11.0      25.5
      4050     282.0       4.2     302.6   -4.1667       8.0      19.5
      4050     282.0       4.6     334.7   -4.0365      12.0      19.5
      4050     282.0       3.8     276.1   -2.7344      12.0      24.0
      4050     282.0       4.0     306.9   -2.6042      11.0      22.5
      4050     282.0       3.6     268.3   -2.3437      15.0      19.5
